,text,label
180,Fikirtepe Mahallesi Mandıra Caddesi Gür Sokak üzerindeki AKP Fikirtepe İrtibat Bürosu önüne kimliği belirsiz kişi veya kişilerce atılan patlayıcı [PET_BOUNDARY]madde[PET_BOUNDARY] nedeniyle büroda küçük çaplı maddi hasar meydana geldi. Patlama sonrası olay yerine itfaiye ve polis ekipleri sevk edilirken Olay Yeri İnceleme ekipleri de araştırmada bulundu. Konuyla ilgili soruşturma sürüyor.,0
799,", değişik sebeplerden dolayı, linkler biraz değer kaybetti. Bazı siteler dışarıya link verme konusunda oldukça [PET_BOUNDARY]eli sıkıyken[PET_BOUNDARY], bazıları da spamın önüne geçmek için linkleri engelliyor. Tüm bunlarla birlikte linkler alınıp satılıyor ve bu da",1
479,". Annesi Nezahat (romanda Nezahet) Hanım ile O çocukken boşanmışlar. Aradan geçen 20 yılda, üstelik bir de '[PET_BOUNDARY]ince hastalık[PET_BOUNDARY]' çeken delikanlının kabalığı ve düzensiz yaşamı dayanılır şey değil. 'Lawrence of Arabia'daki (1962) (Maurice",0
384,"kabartma bezemeler doldurulmuştur. Girişin üstündeki lünetin içinde Selçuklu çinilerinde de görüldüğü gibi [PET_BOUNDARY]dört kollu[PET_BOUNDARY] yıldızlar işlenmiş, bunların tam ortasına mühr-i Süleyman biçimindeki sekizli bir yıldız çerçevenin içine kitâbe",0
17,"ABD'nin Alabama eyaleti yargıçlarından Herman Thomas, az ceza vaadiyle erkek mahkumların 'kalçalarına tahta bir kürekle vurmak' ve 'cinsel ilişkide bulunmakla' suçlandı. Thomas, suçlu bulunduğu takdirde ömür boyu hapis yatacak. İstifa eden ve dün mahkemeye çıkan Thomas, siyah olduğu için iftiraya uğradığını iddia etti. Kendisiyle ilgili bir linç politikası yürütüldüğünü ileri süren eski yargıcın, odasına çağırdığı mahkumlarla [PET_BOUNDARY]cinsel ilişkiye girdiği[PET_BOUNDARY] ileri sürülüyor.",1
144,"Sabah sporu için Zübeyde Hanım mahallesinden Alibeyköy barajına giden yola çıkan kişiler, erkeğe ait cesetle karşılaştı. Durumdan polis haberdar edildi. Olay yerine gelen polis, hafriyat kalıntılarının döküldüğü alana atılan cesette yaptıkları incelemede 50 yaşlarındaki kişinin ellerinin kelepçelendiğini başına sıkılan bir kurşunla da öldürüldüğünü belirledi. İnfaza [PET_BOUNDARY]kurban giden[PET_BOUNDARY] kişinin kimliğinin belirlenmesi ve katillerin belirlenmesi için çalışmalar sürüyor.",1
404,"bireyler olabilme yeteneği, herkes için insani gelişmenin temelidir. Rapor insani gelişmeye ulaşmak için [PET_BOUNDARY]dört kollu[PET_BOUNDARY] bir politika önermesinde bulunuyor. Bunlar; dışlanmışlara ulaşmak için evrensel politikalar geliştirmek; özel",0
161,"Emniyetten yapılan açıklamada, 5 kişinin yaralandığı olayın iki aile arasında meydana geldiği ve 6 kişi hakkında adli işlem yapıldığını belirtilerek, ""Aydınlı Mahallesi’nde 2014 yılı içerisinde bugüne kadar, basına yansıyan konu dahil sadece 5 bıçaklama yaralama olayı meydana gelmiş ve 10 adet uyuşturucu [PET_BOUNDARY]madde[PET_BOUNDARY] suçundan 16 kişiye işlem yapılmıştır"" denildi.",1
48,"Iowa'daki yerel basına göre, Morris'in halen hayatta olan tek çocuğu Walter Morris yayımladığı bildiride, Neva Morris'in ""uzun, iyiliksever ve çok güzel bir hayatın ardından"" Iowa'da [PET_BOUNDARY]hayata gözlerini yumduğunu[PET_BOUNDARY] belirtti. Morris'in ölümünün ardından ABD'nin en yaşlısının 20 Temmuz 1896 yılında doğan Eunice Sanborn adlı kadın olduğu kaydedildi. Dünyanın en yaşlısı ise Japonya'da yaşayan, 10 Mayıs 1895 doğumlu Kama Çinen adlı kadın olarak biliniyor.",1
196,"Örnektepe Köprüsü'ne ucunda şüpheli paket bulunan pankart asıldığını tespit eden polis ekipleri, çevrede güvenlik önlemi aldı. Olay yerine gelen bomba imha ekipleri, paketi fünyeyle patlattı. İncelemede, pakette patlayıcı [PET_BOUNDARY]madde[PET_BOUNDARY] olmadığı tespit edildi. Ekiplerin çalışması sırasında E - 5 Karayolu'nun çift yönlü trafiğe kapatılması yoğunluğa neden oldu. Bu sırada seferlerin yapılamaması nedeniyle çok sayıda metrobüs de duraklarda bekletildi. Çalışmaların ardından, trafik normale döndü.",0
601,"gerçekten yel çıkıyorsa, o zaman Maliki mezhebini taklit eder. Çünkü Maliki mezhebinde elde olmadan çıkan gaz [PET_BOUNDARY]abdesti bozmaz[PET_BOUNDARY]. Soru: Alkollü parfüm kullanmak abdesti bozar mı? Cevap: Bozmaz, namaza da mani olmaz. Cevap: Şehvetle bakmak haram",0
1003,"Total üst yöneticisi Christophe de Margerie, Kuveyt'te yaptığı açıklamada, ABD'den, İran'a yakıt sağlayan ülkelerin cezalandırılmasına ilişkin bir yasanın çıkması halinde, İran'a benzin satışını keseceklerini söyledi. İran Petrol Bakanı Mesud Mir Kazımi, olası yaptırımlara rağmen benzin [PET_BOUNDARY]ihtiyacını karşılayabilecek[PET_BOUNDARY] durumda olduklarını söylemişti. Mir Kazımi, ABD tarafından benzin yaptırımı uygulanması halinde, benzini farklı kaynaklardan ve yerli üretimle temin edeceklerini de bildirmişti.",0
960,kontrollerde porsiyonda herhangi bir eksik yok ikramlarıyla beraber hazırlanmış. Acaba kurye arkadaş mı [PET_BOUNDARY]aşırdı[PET_BOUNDARY] içinden getirirken anlamadım. Servis lezzet 1 de hız da 1.. Hızla yükselen bir restorant için normal puanlama..,1
358,"bu sefer. Serinlik ve sessizlik... Ah şu ses bir sussa daha güzel olacak da. Masada akşamdan kalan fındık poşeti. [PET_BOUNDARY]Fındık kırmak[PET_BOUNDARY] rahatlatır mıydı acaba? Hem de gece gece... Biraz denedim, ne çok sesi çıkıyor bunun da. Komşular ne der sonra. Onu da",0
80,"ABD'li ünlü televizyon yapımcısı Aaron Spelling 83 yaşında [PET_BOUNDARY]hayata gözlerini yumdu[PET_BOUNDARY]. 18 Haziran'da inme geçiren ünlü film yapımcısı, önceki gün Los Angeles kentindeki evinde öldü. Kısa bir süre sinema oyunculuğu da yapan Spelling, pek çoğu Türkiye'de de gösterilen Charlie'nin Melekleri, Hanedan, Aşk Gemisi, Hayal Adası, Evimiz Hollywood'da gibi birçok televizyon dizisinin yapımcılığını üstlenmişti.0",1
865,. Bir de bir öneri... Küçüklerle uğraşarak zaman yitirme bence. Didişmeyi ve sıkışınca sıvışmayı severler. Sen [PET_BOUNDARY]inme[PET_BOUNDARY] o seviyelere. Bilirimki gönlün ve aklın gibi temiz ciğerlerin dayanmaz onların kokularına. Sana ve yeni hemşehrine,0
331,"yüksek, ufak, kırmızı, sarı veya yeşil, yuvarlak ve yassıca tohumu, yasmık. Atasözü, deyim ve birleşik fiiller [PET_BOUNDARY]mercimeği fırına vermek[PET_BOUNDARY], mercimek kadar Mercimek Mercimek baklagillerden, beyaz çiçekli bir tarım bitkisi (lens culinaris). bu bitkinin,",0
423,"eserleri görerek ferahlık duymakta, müteselli olmaktayız. Elinizdeki bu kitabın değeri mevzuunda uzun söze [PET_BOUNDARY]hacet görmüyoruz[PET_BOUNDARY] . İhyau Ulum , İslâm kültürünün ve maârifinin bir şaheseridir. Bu herhangi bir kitâb değil, bir ilim irfan hikmet",0
337,"bir şey olmaz diyemem. Ha bak ev hanımıysanız bakabiliyormuşsunuz. Pişirdiğiniz yemeklerin tabi. Siz ne sandınız? [PET_BOUNDARY]Mercimeği Fırına verip[PET_BOUNDARY], tadına bakmaktan mı bahsediyoruz burada :p Aynı şekilde illa aklınızı, fikrinizi taktıysanız ince işe. ""Ya! Hasıla,",0
541,"kılınır Bundan sonra kurşuncu kadın mangal başına geçer ve içinde kurşun bulunan tavayı ateşe sürer; kurşunu eritir ' [PET_BOUNDARY]İyi saatte olsunlar[PET_BOUNDARY] peri*lerinin erkekleri'nden sakınmak amacıyla başını örter Hastanın odasına girer, hasta arka üstü yatırılır ve",1
636,". "" Hadisin İzahı Selâm vermek sünnet, almak ise vaciptir. Görülüyor ki selâmı vermek de almak da bir ibadettir. [PET_BOUNDARY]Abdest bozarken[PET_BOUNDARY] ibadet yapılamayacağına göre abdest bozana selam da verilemez. Faraza birisi abdest bozan birine selam vermiş olsa",1
263,"26942        Alkol, uyuşturucu veya uyarıcı [PET_BOUNDARY]madde[PET_BOUNDARY] kullanım bozukluğu ya da bağımlılığı olan kişilerde remisyon ölçütleri karşılanana kadar sürücü belgesinin en az 6 ay süreyle geri alınmasına karar verilir.",1
361,karşı işlenen avaş suçları karşısında insan nasıl olur da böyle duyarsız kalır anlamak mümkün değil.. ceviz üzerinde [PET_BOUNDARY]fındık kıran[PET_BOUNDARY] bir arkadaşım (bu kez ben değilim) yoga öğretmeni bir hatun düşürmüş. genelde hafta sonu buluşur kahvemizi içeriz.,1
338,"bu En Eğlenceli şaka troll video muzda insanların üzerine alınmasını sağladık. İnsanlara onlardan kuşun ötüyor mu, [PET_BOUNDARY]mercimeği fırına vermişsin[PET_BOUNDARY], çatalın gözüküyor gibi absürt konulara değindik. Ortaya çok komik ve çok eğlenceli ve şaşırtıcı tepkiler çıktı. Bu",1
98,"İZMİR DHA 6’sı da Dünya Engelliler Derneği’nin, 5’i de Çiğli Belediyesi’nin belirlediği [PET_BOUNDARY]ihtiyaç sahiplerine[PET_BOUNDARY] verildi. Çiğli Belediye Başkanı Ensari Bulut’un da katıldığı törende, Çiğli Rotary Dönem Başkanı Ali Aktaş, 5 engelliye sandalyelerini teslim etti. Dünya Engelliler Derneği Başkanı Ali Karaibrahimoğlu’nun da hazır bulunduğu, Karşıyaka Vilayetler Evi’ndeki iftar yemeğinde de yurtdışından getirilen 6 tekerlekli sandalye sahiplerine sunuldu. Etiketler: Engelli , Rotary ,",0
793,"bir tokalaşma fotoğrafı daha isteyince, Kılıçdaroğlu İhsanoğlu'nun elini sıktı ve ""Sayın cumhurbaşkanı adayının [PET_BOUNDARY]eli sıkıydı[PET_BOUNDARY]"" diye espri yaptı. ""Arkanızdayız"" mesajı CHP lideri daha sonra Ekmeleddin İhsanoğlu'nu CHP Genel Merkezi'nin",0
804,amacıyla yapılmış bir hizmet surekliliğidir. Düşünüyorum köyüme gelen misafir olarak gelen birisini düşünün [PET_BOUNDARY]ihtiyacını görmek[PET_BOUNDARY] için gittiği yerde Çok afedersiniz ama DON-KULOT -BOK- KAGİT PECETE- SİDİK KOKUSU Almış başını gidiyor... Bire,1
526,"getirdi. Öteki taraf ise, ezelden beri bu şekilde anlamı farklı yerlere çekilebilecek sözlerde ustalaşmıştır. ""[PET_BOUNDARY]İyi saatte olsunların[PET_BOUNDARY]"" bir şey yapacaklarından değil ya, darbenin lafı bile hepimizin tüylerini diken diken etmektedir. Bugünün anlam ve",0
266,46274        Ancak [PET_BOUNDARY]madde[PET_BOUNDARY] kullandığından kuşku duyulan bir gençten idrar istemenin ne derece doğru olacağı tartışılmalıdır,1
568,". (Hoş, meclisin de hiçbir işlevi kalmadı ya.) Ama kendilerine yapılan sert eleştiriler karşısında ise hemen ""[PET_BOUNDARY]iyi saatte olsunlar[PET_BOUNDARY]"" harekete geçiyor. Gözaltılar, tutuklamalar, cezalandırmalar başlıyor. Bugün dost gördüklerini yarın düşman",0
92,"İZMİR Milliyet Çocuklar, kırmızı beyaz sünnet takımlarıyla Bayraklı Sevgi Yolu’nda bir araya geldi. Davul ve zurna eşliğinde yürüyen çocuklara vatandaşlar alkışlarıyla eşlik etti. Bayraklı Yüzme Havuzu Düğün salonunda oyuncaklarda vakit geçiren çocuklar unutulmayacak bir gün yaşadı. Bayraklı Belediye Başkanı Hasan Karabağ, ""Belediye olarak her geçen yıl artan bir katılımla [PET_BOUNDARY]ihtiyaç sahibi[PET_BOUNDARY] ailelerimizin yükünü biraz olsun üzerlerinden almış oluyoruz"" diye konuştu. Etiketler:",1
873,", büyük ama çok yönlü bir araca ihtiyaç duyulan görevler için belirgin güçlü duruşu ile ve devriye sırasında sıklıkla [PET_BOUNDARY]inme[PET_BOUNDARY] ve binme imkanı sunması sebebibiyle idealdir. Polis ve güvenlik hizmetleri için özel olarak tasarlanmıştır. Yaya",0
794,"ki: ""Sabah namazından sonra arkadaşlarıma maide suresinden bir ayet okudum. Ayette ""Yahudiler dedi ki: 'Allah'ın [PET_BOUNDARY]eli sıkıdır[PET_BOUNDARY]' Allah dedi ki: ""Sizin eliniz kurusun"" hocam burayı okudum ama ne ben anladım ne arkadaşlar anladı, öyle sustuk kaldık",0
834,riskini en aza indiri ve bunların en başta geleni Tuvalet hijyen kurallarıdır. tuvalete girdiğinde oturarak [PET_BOUNDARY]ihtiyacını gidermeden[PET_BOUNDARY] önce klozetin silinmesi. tuvaletten çıkarken ellerin doğru şekilde yıkanması okul kapılarına temas edildikten,1
290,701982	Önemli bir toplum sağlığı sorunu yaşam biçimlerine saygı tartışmalarına ve laik-muhafazakar çekişmesine [PET_BOUNDARY]kurban gitmektedir[PET_BOUNDARY].,0
581,", imla hatalarını öngörüm için bana sunmuştu. Zaten aynı günün gecesi de meçhul cinayete annesi ve babasıyla birlikte [PET_BOUNDARY]kurban gitti[PET_BOUNDARY]. Birkaç kez görevliler cinayet olayını araştırırken benle de görüştüler. Bir ara garip tipli bir takım kişilerde çok",1
277,"277129        Cenazesinde Muammer Aksoy’un fotoğrafını taşıyan Uğur Mumcu Aksoy’un suikastta [PET_BOUNDARY]kurban gitmesinden[PET_BOUNDARY] sonra, gazetedeki köşesinde şunu yazmıştı:” Aksoy’u öldüren kurşun Atatürk ile Atatürkçülüğe sıkılmıştır”.",1
83,AKP Yalova İl Başkanlığı tarafından AKP’nin Cumhurbaşkanı adayı Tayyip Erdoğan’ın seçim sloganı olan ‘Milli İrade Milli Güç’ yazılı araçlardan yardım kolileri dağıtıldı. AKP’liler kolilerin [PET_BOUNDARY]ihtiyaç sahiplerine[PET_BOUNDARY] verildiğini ileri sürerken kamuoyunda Köşk seçimi öncesi Erdoğan’ın seçim aracından bu kolilerin dağıtılması manidar bulundu.,1
785,eğitimi amacı ile köpek çiş pedi kullanılmaktadır. Bazı aileler küçük ırk yetişkin köpekleri bir ömür boyu pede [PET_BOUNDARY]tuvaletini yaptırmaktadır[PET_BOUNDARY]. Sızdırmaz ve emici özellikteki çiş pedleri evin uygun bir köşesine yerleştirildiğinde ve üzerine damlatılan çiş,1
480,Ve yine biliyorsun Sen son sevdiğim Şimdi uzaklardasın Ben çamlar arasında bir hastane odasında Ciğerimde bir [PET_BOUNDARY]ince hastalık[PET_BOUNDARY] İçimde kapanmak bilmeyen bir yara Ve sanki elimde inadına bir sigara Biliyorum dönmeyeceksin Hatta arkana bile,1
649,"vardı. Hatta yarım asır önce pantolon sadece erkelerde vardı. Erkek kıyafetlerinde ceket altında mevsimine göre ya [PET_BOUNDARY]yakasız gömlek[PET_BOUNDARY] giyilir, ya da ""kazak"" ismi verilen elde örülmüş günümüzde ""triko"" adı verilen kıyafetler olurdu. Erkeklerin",0
964,". Kendi hâlinde, yaramazlıktan hoşlanmayan biriydi. Herkes ona ""Sid"" derdi. Akşam yemeğinde Tom, sık sık kesme şeker [PET_BOUNDARY]aşırdı[PET_BOUNDARY]. Polly teyze bunu görmemezlikten geldi. Ama yine de bir ceza düşünüyordu. Mutlaka cumartesi günü onu eve",1
218,"Edinilen bilgiye göre, Hatay’ın Defne ilçesinde Necmi Asfuroğlu Anadolu Lisesinde müdürlük yapan 56 yaşındaki Mustafa Keser, eğitim semineri için geldiği Antalya’nın Serik ilçesi Boğazkent bölgesindeki bir otelde kalp krizi geçirerek hayatını kaybetti. Öğretmenler Günü’nde hayata gözlerini yuman Mustafa Keser’in [PET_BOUNDARY]naaşı[PET_BOUNDARY] otopsi yapılmak üzere Antalya Adli Tıp Kurumuna götürüldü. Otopsinin ardından yakınlarının gözyaşları ile teslim alınan Keser’in cenazesi toprağa verilmek üzere Hatay’a gönderildi.",1
483,"Baba katili Cevat Şakir, çıkarıldığı mahkemede 15 yıl kürek cezasına çarptırılmış. Cezasının yedinci yılında [PET_BOUNDARY]ince hastalığa[PET_BOUNDARY] yakalanmış, serbest kalmış. Cumhuriyet yeni kurulmuş, Üsküdar'da bir evde yaşıyor, tam bir tutunamayandır Cevat",0
935,"böyle iyidir diyebilirim. Babam, daha önceden vefat eden annemin yerine komşu köyden biri ile evlendi ve başımıza [PET_BOUNDARY]cici anne[PET_BOUNDARY] getirdi. Gelen kişinin çocukları var mı yok mu bilmiyordum, geldikleri gün Meryem'i görünce içim bir garip oldu.",1
901,kasa acil vektör çizim ve ölçüleri lazım Fiat ducato maxi 2006 model kapalı kasa acil vektör çizim ve ölçüleri lazım çok [PET_BOUNDARY]sıkıştım[PET_BOUNDARY] yardımcı olabilecek birisi varsa yardım edebilirmi Hatıran Yeter-Samsun 19 Mayıs Stadyumu Kitap Açıklaması,0
234,"Masaj yağı, Hassas Saç ve Vücut Şampuanı, Vücut Losyonu ve Koruyucu Krem’den oluşan organik kozmetik serisi titizlikle seçilmiş ve [PET_BOUNDARY]saf[PET_BOUNDARY] içeriklere eşlik eden %100 doğal ve yumuşak kokularıyla bebeğinizin bakımı için idealdir. Bu yelpazede yer alan ürünler, Ecocert sertifikalı olmasının yanı sıra hipoalerjeniktir ve klinik olarak test edilmiştir.",0
724,". 2. Türkçe metinlerde en sık % 52.98 oranında iki harfli açık heceler (ba) kullanılmakta, bunu % 36.02 ile [PET_BOUNDARY]üç harfli[PET_BOUNDARY] kapalı heceler(bak) izlemekte, bu iki heceyle metinlerin % 90' ı yazılmaktadır. Bu özellik Türkçenin çoğu dilden",0
47,"6 çocuk annesi olan 67 yaşındaki Meliha Er, bugün öğle saatlerinde kalp krizi geçirerek [PET_BOUNDARY]hayata gözlerini yumdu[PET_BOUNDARY]. Meliha Er'in cenazesinin, yarın ikindi namazını müteakiben Rize Şeyh Camii'nde kılınacak cenaze namazının ardından Pazarköy'deki aile mezarlığında toprağa verileceği öğrenildi.",1
232,"Uluslararası Güvenlik Destek Gücü'nün (İ[PET_BOUNDARY]SAF[PET_BOUNDARY]) açıklamasında, ""Saldırıda 6 Ağustos'ta CH - 47 helikopterinin düşürülmesiyle ilgili ateşi açan isyancı ile Taliban lideri Molla Muhibullah öldü"" denildi. Afganistan'daki ABD ve NATO güçlerinin komutanı General John Allen de askerlerin, nereye kaçtıklarını öğrendikten sonra isyancıları pazartesi sabahı yapılan operasyonda öldürdüklerini söyledi. Düşürülen helikopterdeki 30 Amerikan askeriyle 8 Afgan askeri ölmüştü.",0
344,"erkekler, kadın mevsimlik işçilerden daha yüksek ücrete çalıştılar. Budama ve kanal açma işlerinde kadın işçi, [PET_BOUNDARY]fındık kırmada[PET_BOUNDARY] da erkek işçi çalıştırılmadığı belirlendi. Erkekler arasında en yüksek ücreti ise günlük ortalama 9 milyon 900 bin",0
280,299685        Çünkü çocuğun özellikle [PET_BOUNDARY]madde[PET_BOUNDARY] kullanım yaşının 12 ve 13 yaş civarına kadar düştüğünü temel alırsak yakın arkadaş çevrelerinin yoğun baskısına “hayır” diyebiliyor olması gerekir.,1
555,"islamator diyorum böyle yazarlara. Kendisi için istedigi gücü, mevkiyi kadinlara çok görmek... Burasi çok sakat [PET_BOUNDARY]iyi saatte olsunlar[PET_BOUNDARY], ergenekon filan bahane. Yesil soslu ulus devlet projesi bu. Kadinlara ragmen kadinlarin iyiligini(!) istiyor.",0
197,"Bakırköy'de bir alışveriş merkezinin otoparkına giren otomobilin bağajında güvenlik görevlileri tarafından rutin kontrol yapılırken, görülen bir cismin, patlayıcı [PET_BOUNDARY]madde[PET_BOUNDARY] olabileceği şüphesi üzerine, polise haber verildi. Otoparktan çıkış yapan otomobil polis tarafından kovalamaca sonucu İstanbul Caddesi üzerinde durdurulurken, sürücü ifadesi alınmak üzere gözaltına alındı. Polis caddede geniş güvenlik önlemi alırken, olay yerine gelen bomba imha uzmanları otomobilde arama yapıyor.",0
455,"biri kırmızı rujlu bir makyaj yapmak. Kırmızıların tonu tutmayacağı gibi, karşıdan bakıldığından göz algısından da [PET_BOUNDARY]iki canlı[PET_BOUNDARY] kırmızı rahatsızlık yaratacaktır. Göz makyajında, kahve tonları, bronzlar ya da hafif bir siyah dumanlı makyajla,",0
999,"IMF'den yapılan açıklamada, ""Ebolanın etkisiyle Liberya, Sierra Leone ve Gine'de ekonomik büyümeyi düşüreceği için bu ülkelerin mali [PET_BOUNDARY]ihtiyaçlarının karşılanması[PET_BOUNDARY] kararlaştırıldı"" denildi. Açıklamaya göre, IMF söz konusu ülkelerin her birine 100 - 130 milyon dolar yardım edecek. İshal, kanama, deri döküntüleri ve yüksek ateşe neden olan bulaşıcı ebola virüsünün yol açtığı hastalık, son aylarda birçok Afrika ülkesinde etkili oluyor.",0
81,"Ve Adnan Şenses [PET_BOUNDARY]hayata gözlerine yumarken[PET_BOUNDARY] ilginç bir vasiyetname bırakıyor. Ünlü şarkıcı 2012 yılının Nisan ayında 'Bir Demet Yasemin' programında çok ilginç vasiyetini açıklıyor. Yasemin Bozkurt'un ""vasiyet yazdınız mı?"" sorusunu cevaplayan Adnan Şenses'in vasiyeti de oldukça sıra dışı... Ünlü sanatçı, yazılı bir vasiyeti olmasa da cenazesinin Roman havası eşliğinde kaldırılmasını istiyormuş.. Video için tıklayın Etiketler: adnan şenses , vasiyet ,",1
248,"[PET_BOUNDARY]Siyahi[PET_BOUNDARY] şarkıcılar Jay - Z ve Kanye West’in konser için Paris’te bulundukları sırada Paltrow, Twitter hesabına ""Zenciler Paris’te gerçekten"" yazdı. Ünlü oyuncu ikilinin ünlü ""Zenciler Paris’te"" şarkısına gönderme yapmış olsa da bu tweet siyahilerin tepkisini çekti. Paltrow ırkçılıkla itham edildi. Etiketler:",1
356,"gemi sahibi olması, kardeşinin de Marsilya'da fındık ticaretiyle iştigal etmesi nedeniyle, fındık dış satımında ve [PET_BOUNDARY]fındık kırımında[PET_BOUNDARY] modernleşme öncüsü olmuştur. Tüm Dünya'da 1929 Ekonomik buhranı olarak bildiğimiz ekonomik krizin, yeni kurulan",0
535,"olunca elbette bazı önlemler de geliştirilmiştir. Öncelikle bu varlıkların adları söylenmez. Bahsetmek gerekince [PET_BOUNDARY]iyi saatte olsunlar[PET_BOUNDARY], bizden uzak olsunlar denir. Onları ürkütecek, kızdırıp korkutacak hareketlerden kaçınılır. Bu varlıkların",1
